"","Predicted_Prob","Actual_Labels"
"1",0.487912475429154,1
"2",0.383957258146717,0
"3",0.554662364610823,1
"4",0.370974863341726,1
"5",0.317137387292947,0
"6",0.460963050982498,1
"7",0.498794835865628,0
"8",0.445066922583324,1
"9",0.286535169853931,1
"10",0.362690371742237,1
"11",0.613193923056667,1
"12",0.39621757026437,0
"13",0.333602792329192,1
"14",0.454494819096801,1
"15",0.488426761568057,1
"16",0.491220914977598,0
"17",0.404910298316236,1
"18",0.439532090737611,1
"19",0.602445967142544,1
"20",0.388540616627575,0
"21",0.474454477627401,0
"22",0.367806138588593,1
"23",0.415709639726833,1
"24",0.450700897750599,0
"25",0.519616977721313,0
"26",0.578041749665933,1
"27",0.409026219075164,1
"28",0.417167736807019,1
"29",0.552468183229321,1
"30",0.544917111688751,0
"31",0.497739160183442,0
"32",0.427843051051851,0
"33",0.430628671625204,0
"34",0.333659608013364,0
"35",0.372745037885997,0
"36",0.548777390779699,0
"37",0.599606605078156,1
"38",0.613401506094738,1
"39",0.546746085030159,1
"40",0.529533174081781,1
"41",0.37052646489909,0
"42",0.453249369491624,1
"43",0.494613065179007,1
"44",0.498607571616957,1
"45",0.475225457932586,1
"46",0.581817867266974,1
"47",0.430674032894399,0
"48",0.603998215013868,1
"49",0.360432178605568,0
"50",0.370167811020477,0
"51",0.431201907484344,0
"52",0.452029728511468,0
"53",0.3835366838907,0
"54",0.388202576768477,1
"55",0.408406859547478,0
"56",0.481840465957543,1
"57",0.485218991724948,1
"58",0.375340446956677,0
"59",0.529003865574949,0
"60",0.515077465686014,1
"61",0.499275834688451,1
"62",0.431022995935778,1
"63",0.309260664255189,0
"64",0.44997369714519,1
"65",0.531861435749273,1
"66",0.511829310985035,0
"67",0.530083926924273,1
"68",0.551598814252394,1
"69",0.425285599145618,1
"70",0.552996518244182,0
"71",0.432938048069561,0
"72",0.451984221400875,0
"73",0.522998826535212,0
"74",0.394532044259493,0
"75",0.553664608147253,0
"76",0.428986777950205,0
"77",0.384516299682273,0
"78",0.450969617864753,1
"79",0.396893092408041,0
"80",0.418482695286569,0
"81",0.474774697639016,1
"82",0.456064142851914,1
"83",0.363251720311985,1
"84",0.500818189264557,0
"85",0.363790469919563,0
"86",0.456360597366509,1
"87",0.451665896867904,1
"88",0.331087897085952,1
"89",0.403856142250619,1
"90",0.370864042110285,1
"91",0.459846885117602,1
"92",0.632118569381446,0
"93",0.288767845972076,0
"94",0.330286796109547,0
"95",0.36184004025222,1
"96",0.501591462677069,0
"97",0.564480478450312,0
"98",0.540067089598686,0
"99",0.324542852336684,0
"100",0.453740127340402,1
"101",0.462732272039762,1
"102",0.509366014585062,1
"103",0.555676623803639,0
